Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
6,542,50,5.6205,2,25,8.11
6,542,55,3.3502,2,25,8.11
6,542,60,4.1113,2,25,8.11
6,542,65,3.5165,2,25,8.1749
6,542,70,3.405,2,25,8.2511
6,542,75,2.6718,2,25,9.132
6,542,80,3.6827,2,25,9.132
6,542,85,2.3732,2,25,9.3172
6,542,90,2.0184,2,25,9.3268
6,542,95,2.0387,2,25,9.4189
6,542,100,1.9529,2,25,9.5921
6,542,105,1.4629,2,25,9.7866
6,542,110,1.4724,2,25,9.9121
6,542,115,1.4593,2,25,9.9121
6,542,120,1.4103,2,25,9.9121
6,542,125,1.3355,2,25,9.9121
7,1740,5,10.6533,2,25,6.431E-4
7,1740,10,8.9703,2,25,0.3688
7,1740,15,8.2375,2,25,0.4165
7,1740,20,4.9207,2,25,0.9318
7,1740,25,6.2807,2,25,4.8215
7,1740,30,5.0313,2,25,7.2994
7,1740,35,5.6666,2,25,7.2994
7,1740,40,4.7489,2,25,7.2994
7,1740,45,6.5407,2,25,7.2994
7,1740,50,4.5766,2,25,7.2994
7,1740,55,4.0647,2,25,7.2994
7,1740,60,3.9125,2,25,7.2994
7,1740,65,3.8385,2,25,7.2994
7,1740,70,4.0154,2,25,7.5008
7,1740,75,3.0826,2,25,7.8941
7,1740,80,3.4005,2,25,8.1661
7,1740,85,3.6799,2,25,8.1661
7,1740,90,3.1491,2,25,9.3698
7,1740,95,2.8397,2,25,9.3698
7,1740,100,3.0017,2,25,9.3698
7,1740,105,2.396,2,25,9.3938
7,1740,110,2.0472,2,25,9.3938
7,1740,115,2.0242,2,25,9.518
7,1740,120,2.3239,2,25,9.5609
7,1740,125,2.2647,2,25,9.8213
8,1542,5,14.1961,2,25,0.001004
8,1542,10,8.4964,2,25,0.02199
8,1542,15,6.7828,2,25,1.5036
8,1542,20,8.4193,2,25,2.2137
8,1542,25,5.455,2,25,2.2271
8,1542,30,5.895,2,25,2.2544
8,1542,35,6.8728,2,25,4.0598
8,1542,40,6.4343,2,25,4.0598
8,1542,45,5.1712,2,25,4.0598
8,1542,50,4.8181,2,25,8.042
8,1542,55,4.8456,2,25,8.042
8,1542,60,6.6139,2,25,8.042
8,1542,65,4.339,2,25,8.042
8,1542,70,5.3018,2,25,8.042
8,1542,75,6.0467,2,25,8.042
8,1542,80,3.2312,2,25,8.042
8,1542,85,3.2581,2,25,8.042
8,1542,90,3.0653,2,25,8.5311
8,1542,95,2.921,2,25,8.8081
8,1542,100,2.9061,2,25,9.6383
8,1542,105,2.6796,2,25,9.6383
8,1542,110,3.2057,2,25,9.6383
8,1542,115,3.1578,2,25,9.6383
8,1542,120,2.4945,2,25,9.6383
8,1542,125,2.4351,2,25,9.6644
9,1981,5,9.0388,2,25,2.146E-4
9,1981,10,10.5381,2,25,0.01042
9,1981,15,6.3944,2,25,1.6934
9,1981,20,5.6625,2,25,1.6934
9,1981,25,3.5172,2,25,3.2027
9,1981,30,3.6851,2,25,4.0969
9,1981,35,3.9742,2,25,6.194
9,1981,40,2.1448,2,25,7.4402
9,1981,45,3.7125,2,25,8.1681
9,1981,50,2.185,2,25,8.1681
9,1981,55,2.2619,2,25,8.7424
9,1981,60,2.0339,2,25,8.9459
9,1981,65,2.0059,2,25,9.1631
9,1981,70,1.5925,2,25,9.4115
9,1981,75,1.5304,2,25,9.4115
9,1981,80,1.2931,2,25,9.4115
9,1981,85,1.5035,2,25,9.4115
9,1981,90,1.6007,2,25,9.4115
9,1981,95,1.6321,2,25,9.5645
9,1981,100,1.6756,2,25,9.6079
9,1981,105,1.2212,2,25,9.6229
9,1981,110,1.6176,2,25,9.7523
9,1981,115,1.6175,2,25,9.7523
9,1981,120,1.5967,2,25,9.7669
9,1981,125,1.4484,2,25,9.8363
10,7056,5,11.1143,2,25,7.173E-4
10,7056,10,10.0929,2,25,0.2246
10,7056,15,6.2517,2,25,4.7481
10,7056,20,4.897,2,25,4.7481
10,7056,25,5.0975,2,25,6.1987
10,7056,30,4.4362,2,25,6.2647
10,7056,35,4.381,2,25,6.2647
10,7056,40,4.3517,2,25,7.1579
10,7056,45,3.5024,2,25,7.1579
10,7056,50,3.4328,2,25,7.1579
10,7056,55,3.1192,2,25,7.3918
10,7056,60,3.4759,2,25,7.3918
10,7056,65,2.5011,2,25,8.3082
10,7056,70,1.7779,2,25,8.4327
10,7056,75,2.2607,2,25,8.6969
10,7056,80,0.7386,2,25,9.0669
10,7056,85,0.9143,2,25,9.0669
10,7056,90,0.6788,2,25,9.0669
10,7056,95,0.8334,2,25,9.4422
10,7056,100,0.68,2,25,9.6138
10,7056,105,0.6157,2,25,9.7908
10,7056,110,0.6588,2,25,9.7908
10,7056,115,0.6449,2,25,9.7908
10,7056,120,0.5835,2,25,9.7908
10,7056,125,0.5336,2,25,9.7908
