,population_1,population_2,bias_1_first,bias_1_second,bias_2_first,bias_2_second,pair,divergence
0,0.0,1.0,-0.054476716820273,0.054476716820273,0.054476716820273,-0.054476716820273,0.0,72.05429776591542
1,2.0,3.0,0.17038894188168607,-0.17038894188168607,-0.17038894188168607,0.17038894188168607,1.0,173.38556851807863
2,4.0,5.0,0.09597731219318151,-0.09597731219318151,-0.09597731219318151,0.09597731219318151,2.0,110.92313436643917
3,6.0,7.0,0.11313475768672687,-0.11313475768672687,-0.11313475768672687,0.11313475768672687,3.0,128.96361673640175
4,8.0,9.0,-0.17124486522055352,0.17124486522055352,0.17124486522055352,-0.17124486522055352,4.0,163.74796168133258
5,10.0,11.0,0.136269648904496,-0.136269648904496,-0.136269648904496,0.136269648904496,5.0,152.23793816100584
6,12.0,13.0,-0.24598133846116746,0.24598133846116746,0.24598133846116746,-0.24598133846116746,6.0,202.6699331039831
7,14.0,15.0,-0.13076620942617367,0.13076620942617367,0.13076620942617367,-0.13076620942617367,7.0,159.49909881330552
8,16.0,17.0,-0.00216493268272,0.00216493268272,0.00216493268272,-0.00216493268272,8.0,10.943944182558111
9,18.0,19.0,-0.14996183443196526,0.14996183443196526,0.14996183443196526,-0.14996183443196526,9.0,148.01376588868646
10,20.0,21.0,-0.3717026839144339,0.3717026839144339,0.3717026839144339,-0.3717026839144339,10.0,276.068846695447
11,22.0,23.0,-0.24130302323309163,0.24130302323309163,0.24130302323309163,-0.24130302323309163,11.0,216.579086312355
12,24.0,25.0,-0.2605094805670041,0.2605094805670041,0.2605094805670041,-0.2605094805670041,12.0,219.0421782966411
13,26.0,27.0,-0.0850574043313651,0.0850574043313651,0.0850574043313651,-0.0850574043313651,13.0,128.97704568027544
14,28.0,29.0,-0.08738227894149653,0.08738227894149653,0.08738227894149653,-0.08738227894149653,14.0,104.74686192835603
15,30.0,31.0,0.33693852259873014,-0.33693852259873014,-0.33693852259873014,0.33693852259873014,15.0,261.0422937057257
16,32.0,33.0,-9.580399021319463e-05,9.580399021319463e-05,9.580399021319463e-05,-9.580399021319463e-05,16.0,13.806401186163106
17,34.0,35.0,0.2344918664850063,-0.2344918664850063,-0.2344918664850063,0.2344918664850063,17.0,198.79823203934245
18,36.0,37.0,-0.30543548053632624,0.30543548053632624,0.30543548053632624,-0.30543548053632624,18.0,245.9679239390702
19,38.0,39.0,-0.2899610929650419,0.2899610929650419,0.2899610929650419,-0.2899610929650419,19.0,246.603247966867
20,40.0,41.0,0.1337771754777799,-0.1337771754777799,-0.1337771754777799,0.1337771754777799,20.0,149.27398320499395
21,42.0,43.0,-0.19746610456235622,0.19746610456235622,0.19746610456235622,-0.19746610456235622,21.0,194.6212529080313
22,44.0,45.0,-0.36852124426060984,0.36852124426060984,0.36852124426060984,-0.36852124426060984,22.0,269.19894294397943
23,46.0,47.0,0.06603880268225665,-0.06603880268225665,-0.06603880268225665,0.06603880268225665,23.0,96.79087080028624
24,48.0,49.0,-0.36838639013806374,0.36838639013806374,0.36838639013806374,-0.36838639013806374,24.0,272.3926230156003
25,50.0,51.0,-0.20384094718761672,0.20384094718761672,0.20384094718761672,-0.20384094718761672,25.0,196.53800186526396
26,52.0,53.0,-0.1551540434960332,0.1551540434960332,0.1551540434960332,-0.1551540434960332,26.0,160.0979242965065
27,54.0,55.0,0.29142842048082895,-0.29142842048082895,-0.29142842048082895,0.29142842048082895,27.0,244.63069888849336
28,56.0,57.0,-0.3018066478994397,0.3018066478994397,0.3018066478994397,-0.3018066478994397,28.0,237.77784631472886
29,58.0,59.0,-0.23248376658838465,0.23248376658838465,0.23248376658838465,-0.23248376658838465,29.0,209.01022142782713
30,60.0,61.0,-0.3746382946038096,0.3746382946038096,0.3746382946038096,-0.3746382946038096,30.0,284.85504050325414
31,62.0,63.0,0.03208328598262106,-0.03208328598262106,-0.03208328598262106,0.03208328598262106,31.0,49.66305266136046
32,64.0,65.0,-0.08932156964911347,0.08932156964911347,0.08932156964911347,-0.08932156964911347,32.0,102.64393670802978
33,66.0,67.0,0.10543578563895739,-0.10543578563895739,-0.10543578563895739,0.10543578563895739,33.0,130.34294254799414
34,68.0,69.0,-0.12713653092058025,0.12713653092058025,0.12713653092058025,-0.12713653092058025,34.0,148.58734243010568
35,70.0,71.0,0.19710649441498773,-0.19710649441498773,-0.19710649441498773,0.19710649441498773,35.0,182.35650554250478
36,72.0,73.0,0.23948079648127607,-0.23948079648127607,-0.23948079648127607,0.23948079648127607,36.0,218.83694106663074
37,74.0,75.0,0.10481366853018026,-0.10481366853018026,-0.10481366853018026,0.10481366853018026,37.0,125.5493235029126
38,76.0,77.0,0.20172586023279615,-0.20172586023279615,-0.20172586023279615,0.20172586023279615,38.0,188.07231831217234
39,78.0,79.0,0.007497541565150534,-0.007497541565150534,-0.007497541565150534,0.007497541565150534,39.0,13.062021353638784
40,80.0,81.0,0.1296868065729433,-0.1296868065729433,-0.1296868065729433,0.1296868065729433,40.0,153.39654267824162
41,82.0,83.0,-0.2848010340961744,0.2848010340961744,0.2848010340961744,-0.2848010340961744,41.0,220.86803220819874
42,84.0,85.0,0.03425363450083385,-0.03425363450083385,-0.03425363450083385,0.03425363450083385,42.0,47.93985565355649
43,86.0,87.0,0.23306495193676036,-0.23306495193676036,-0.23306495193676036,0.23306495193676036,43.0,200.6674784734563
44,88.0,89.0,-0.2768166276355616,0.2768166276355616,0.2768166276355616,-0.2768166276355616,44.0,232.68125556518493
45,90.0,91.0,-0.32454114706014403,0.32454114706014403,0.32454114706014403,-0.32454114706014403,45.0,248.13013278260559
