Run,Seed,Final Score
1,6747,6.432534293244997
2,563,7.369914141145182
3,2966,9.720402420288256
4,2248,8.676236381439704
5,1808,2.8620955983244256
6,6295,8.857976015232476
7,2058,6.7368607901023045
8,6712,4.330108656675336
9,7715,5.637834165556286
10,4490,2.4139804392818403
11,25,4.891904049564137
12,7786,8.710455481810541
13,812,8.885784740419902
14,5014,8.728500216676775
15,3228,7.444913263916362
16,7962,2.4629369335959357
17,7370,4.998527622091214
18,4796,8.885202260952905
19,1276,3.325046880969688
20,4002,4.9507338006274075
21,5659,8.872538665475965
22,4952,7.092749185496289
23,7848,5.948194239707475
24,4590,8.86757684544071
25,5054,6.904148017826812
26,2963,6.943722214208284
27,5875,1.4261040817217858
28,2607,6.841601040782139
29,2089,8.687922321643793
30,1371,6.0756392132021215
31,8190,6.34345903505055
32,443,8.970304652603126
33,1946,9.645805554243662
34,9986,6.027888965566702
35,1784,7.057734544314308
36,4171,6.985244233323612
37,2703,9.732984310263662
38,761,8.794628242377396
39,1415,9.137862174021294
40,2194,4.593591483719851
41,195,8.841143956313264
42,1691,9.132026867294892
43,534,5.2262486162763935
44,830,5.869962953401506
45,5742,8.831294518579732
46,7385,8.693276039051929
47,3132,5.386172069804171
48,4129,8.647421889748099
49,5820,7.233839052622767
50,4185,3.7346431822129196
51,3408,8.660138730243824
52,1452,4.244843955262799
53,7017,5.104407066328348
54,1486,5.611850146936885
55,8991,9.194263843862924
56,9680,2.8834661057554367
57,8577,8.219660753259332
58,6518,8.805510639293704
59,777,8.83192760613705
60,2308,9.475049294352345
61,4954,8.832719801876417
62,1477,4.629191479645613
63,6206,2.545593568495473
64,1862,4.223477367120505
65,3277,8.89838499479622
66,6869,0.8913782229474723
67,716,8.95588112042285
68,8961,5.11892771647158
69,4329,7.568949065637706
70,8426,8.688591281701779
71,1429,8.399399206933126
72,1074,7.034723936082718
73,4230,4.074931637904834
74,8086,6.9933467478851705
75,5058,9.024382584130521
76,6603,4.4985634615480645
77,4202,6.531056132284921
78,1745,2.2529847621848798
79,6219,4.784768776526955
80,2884,6.445710739698455
81,1758,7.532492947463392
82,5687,9.664614175921738
83,8754,7.234403786799907
84,7589,6.316052228193815
85,2382,8.140131606304152
86,399,4.013416499263981
87,1810,9.699432813264435
88,7636,9.566203127860282
89,2290,9.086959349750659
90,4127,9.64541987621451
91,9418,3.3397513497542297
92,815,9.243605037016353
93,3471,4.534733352942406
94,8257,6.275156154711964
95,3001,4.8411224214839566
96,3432,8.672327109515797
97,9453,6.939113946735521
98,8755,7.1076941063754635
99,3417,8.860421222687615
100,5523,8.90718407533765
