Run,Seed,Final Score
1,4697,4.233345157013957
2,4224,7.33278969142678
3,6095,9.734302043955845
4,2893,9.491144944356778
5,2509,2.4134617081743155
6,1397,4.0008578530776955
7,6010,8.718294379289851
8,8001,3.8935083117878557
9,3262,4.965706164418304
10,3957,4.0070523418388255
11,3222,8.656190479939855
12,6737,4.992703320724286
13,759,9.664157355053273
14,3832,8.80647472303465
15,1852,6.649466509138012
16,4915,6.689893815104611
17,8793,8.64613853871615
18,4606,8.702449207072354
19,5448,1.1379508499824622
20,7269,5.145481936390017
21,4631,8.85680936437533
22,4102,7.042971890652789
23,7589,9.680616033394495
24,5425,4.088607145846945
25,4542,6.233526374266567
26,1312,6.106293791381059
27,7830,7.0215199719233805
28,3682,6.9827487788913345
29,6773,8.152045389864446
30,8388,8.778468625758695
31,1001,3.9818463212040256
32,1603,8.918425972727704
33,792,9.744914017099562
34,5999,4.221812642864918
35,4764,5.3871465396412965
36,8316,7.33565831002105
37,2483,4.151120175950837
38,4929,7.014388795276229
39,9261,7.051704295459355
40,5004,7.583396393792386
41,5553,9.732481425804764
42,8087,9.701953165913823
43,6883,3.8228791258400348
44,7461,4.4722172210412
45,163,9.735429828112704
46,9304,3.0853089813980876
47,5806,8.846697969050599
48,3946,5.903997450686891
49,9231,6.047840281575873
50,1122,7.329792518221683
51,239,8.894819839428006
52,4041,8.110841436234939
53,9582,5.886623307921952
54,6243,5.148403684826163
55,7366,8.659244291816071
56,3928,7.3365714615850175
57,3731,9.107145181514603
58,839,9.607856427982952
59,7151,3.913922308685598
60,1297,3.8324086757591824
61,4140,6.388981833952041
62,2868,9.096159865283829
63,2652,8.919259083969152
64,6717,7.09624058450235
65,1706,6.6772495276026635
66,7430,6.931314519448792
67,8898,8.142139666732476
68,2817,8.107190957240354
69,945,8.880027019322247
70,6156,6.620014734588652
71,9491,5.8949760651424965
72,2572,5.591885885389534
73,6399,4.935498581446925
74,4351,2.7171796774708925
75,1758,1.4751409485701141
76,4188,2.8193663062082432
77,2108,6.069696963875806
78,7990,8.844638871670142
79,2552,4.720975457805523
80,3908,7.564042415674174
81,997,2.490035651704916
82,9627,6.079709726651217
83,3656,2.988465832023844
84,3134,9.243048648886296
85,472,8.660819313771157
86,1658,6.440644895827886
87,9526,6.057855920648029
88,9327,5.583605322102674
89,7519,9.244604539334153
90,303,9.463371394291647
91,4786,8.88466443064297
92,1279,8.68432503263941
93,7181,3.6750892474470023
94,5949,5.740672291208164
95,3428,7.083943235254222
96,1861,9.103257600526485
97,745,9.655472717547095
98,7262,3.7817427562866346
99,6678,5.8383640341991425
100,9493,4.2525589512349855
