Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,9047,6000,18.97694,2.62936,0,1,8.74691,3.39073,4.3816,3.8382,8.19322,4.5143E-8,0.54064
1,9047,6150,18.81823,2.60921,0,1,8.74691,3.38191,4.3595,3.77265,7.97498,0.24756,0.55484
1,9047,6300,18.81272,2.60959,0,1,8.74691,3.99655,4.4233,3.75293,7.88237,3.3584,0.56577
1,9047,6450,18.8178,2.60959,0,1,8.74691,4.40206,4.43389,3.79554,8.00569,5.21505,0.56011
1,9047,6600,18.82518,2.60964,0,1,8.74691,4.44469,4.34046,3.90741,7.99434,5.38612,0.5951
1,9047,6750,18.82352,2.6097,0,1,8.74691,4.37211,4.28274,3.47943,7.90796,5.63506,0.55538
1,9047,6900,18.82133,2.60977,0,1,8.74691,4.51818,4.56252,3.78962,7.99917,5.66237,0.57723
1,9047,7050,18.82369,2.60976,0,1,8.74691,4.52598,4.62428,3.92291,7.87603,5.64701,0.55967
1,9047,7200,18.8205,2.60979,0,1,8.74691,4.50651,4.54694,3.93002,7.83995,5.61205,0.6036
1,9047,7350,18.81668,2.60981,0,1,8.74691,4.59785,4.48121,4.0948,8.06182,5.73449,0.61693
1,9047,7500,18.81695,2.60982,0,1,8.74691,4.53185,4.45636,3.7796,7.95794,5.8479,0.61744
1,9047,7650,18.81864,2.60982,0,1,8.74691,4.52942,4.20267,4.08143,8.13543,5.6522,0.57538
1,9047,7800,18.82042,2.60989,0,1,8.74691,4.53973,4.62602,3.96449,7.89769,5.54585,0.66463
1,9047,7950,18.8178,2.60991,0,1,8.74691,4.53469,4.54672,3.94603,7.89581,5.69957,0.58534
1,9047,8100,18.816,2.60985,0,1,8.74691,4.61796,4.51078,3.95435,8.14428,5.83926,0.64115
1,9047,8250,18.81445,2.60986,0,1,8.74691,4.54024,4.54226,3.98157,7.7163,5.79825,0.66281
1,9047,8400,18.81234,2.60992,0,1,8.74691,4.57614,4.55549,3.93088,8.07701,5.71793,0.59937
1,9047,8550,18.81062,2.60991,0,1,8.74691,4.44751,4.61248,3.58708,7.7142,5.69251,0.63128
1,9047,8700,18.81658,2.60995,0,1,8.74691,4.52849,4.42304,3.82864,8.02987,5.70742,0.65348
1,9047,8850,18.80296,2.60984,0,1,8.74691,4.63241,4.65748,4.09328,7.79816,5.89353,0.7196
1,9047,9000,18.81131,2.60998,0,1,8.74691,4.56322,4.50098,4.05739,7.88184,5.72137,0.65452
1,9047,9150,18.82399,2.61005,0,1,8.74691,4.65863,4.7029,3.90288,8.13861,5.89578,0.653
1,9047,9300,18.81953,2.60996,0,1,8.7553,4.60541,4.65194,3.88007,7.9,5.90864,0.6864
1,9047,9450,18.81991,2.60993,0,1,8.7553,4.53416,4.48514,3.80812,7.92401,5.8581,0.59541
1,9047,9600,18.81959,2.60998,0,1,8.7553,4.5667,4.43269,4.10601,7.92688,5.75022,0.61771
1,9047,9750,18.82777,2.61002,0,1,8.7553,4.56097,4.46843,4.03364,7.78754,5.8227,0.69256
1,9047,9900,18.82627,2.61003,0,1,8.7553,4.6236,4.4019,3.98225,8.11775,5.84664,0.76944
1,9047,10050,18.82935,2.61005,0,1,8.7553,4.54569,4.41423,4.21606,7.8784,5.47915,0.74064
1,9047,10200,18.82542,2.61003,0,1,8.7553,4.66392,4.53808,4.17628,7.92473,5.88273,0.79779
1,9047,10350,18.82996,2.6101,0,1,8.7553,4.71573,4.62368,4.12637,8.07483,5.92334,0.83041
1,9047,10500,18.82732,2.61003,0,1,8.7553,4.59003,4.55471,3.89759,8.1537,5.66565,0.67851
1,9047,10650,18.82847,2.61005,0,1,8.7553,4.56933,4.60922,4.1354,7.75314,5.65228,0.69664
1,9047,10800,18.83093,2.6101,0,1,8.7553,4.74867,4.67692,4.19804,7.95118,6.12607,0.79116
1,9047,10950,18.83235,2.61014,0,1,8.7553,4.6842,4.46223,4.05799,8.06453,6.08254,0.7537
1,9047,11100,18.83619,2.61021,0,1,8.7553,4.54215,4.56363,3.86265,7.82596,5.67091,0.78763
1,9047,11250,18.83551,2.61021,0,1,8.7553,4.593,4.4578,4.21912,7.78926,5.7581,0.74071
1,9047,11400,18.83637,2.61018,0,1,8.7553,4.64821,4.29398,4.01805,8.0991,6.05765,0.77226
1,9047,11550,18.83157,2.6101,0,1,8.7553,4.73623,4.5513,4.35791,8.20133,5.85357,0.71705
1,9047,11700,18.83203,2.61009,0,1,8.7553,4.82066,4.81117,4.41821,8.11823,5.93318,0.82249
1,9047,11850,18.83563,2.6101,0,1,8.7553,4.68778,4.44111,4.62193,7.93953,5.71668,0.71967
1,9047,12000,18.82691,2.61007,0,1,8.7553,4.72994,4.68538,4.67921,7.81393,5.65534,0.81585
1,9047,12150,18.82651,2.61008,0,1,8.7553,4.72113,4.37308,4.61919,8.00354,5.81587,0.79396
1,9047,12300,18.82477,2.6101,0,1,8.7553,4.79806,4.68943,4.69564,7.99354,5.71686,0.89482
1,9047,12450,18.82652,2.61017,0,1,8.7553,4.80777,4.60433,4.96643,7.96303,5.72966,0.77541
1,9047,12600,18.82145,2.61012,0,1,8.7553,4.87631,4.60556,5.09241,8.08062,5.83971,0.76327
1,9047,12750,18.822,2.61015,0,1,8.7553,4.84232,4.51688,5.48475,7.82154,5.67466,0.71378
1,9047,12900,18.81867,2.61014,0,1,8.7553,4.96291,4.68138,5.40505,8.05097,5.81002,0.86711
1,9047,13050,18.82036,2.61015,0,1,8.7553,5.04718,4.51014,6.107,8.14861,5.62068,0.84948
1,9047,13200,18.81975,2.61012,0,1,8.7553,4.9639,4.46613,6.12196,7.67977,5.63821,0.91341
1,9047,13350,18.82804,2.61022,0,1,8.7553,5.04158,4.52299,6.1329,7.84256,5.79827,0.91121
1,9047,13500,18.83199,2.61026,0,1,8.7553,5.0472,4.62269,6.0309,7.96186,5.74522,0.87536
1,9047,13650,18.83424,2.6103,0,1,8.7553,5.07072,4.78972,6.06685,8.0782,5.60493,0.8139
1,9047,13800,18.84102,2.61036,0,1,8.7553,5.07636,4.46392,6.29187,8.06599,5.59405,0.96597
1,9047,13950,18.83642,2.61034,0,1,8.7553,5.14555,4.70345,6.14375,8.10442,5.83975,0.93637
1,9047,14100,18.8397,2.61031,0,1,8.7553,5.07238,4.52596,6.42076,7.82094,5.65893,0.93531
1,9047,14250,18.84059,2.61032,0,1,8.7553,5.156,4.56387,6.36731,8.17294,5.9406,0.73527
1,9047,14400,18.83782,2.61042,0,1,8.7553,5.07649,4.63638,6.29889,7.81061,5.83569,0.8009
1,9047,14550,18.84482,2.6104,0,1,8.7553,4.99441,4.4399,6.05126,7.81645,5.89041,0.77404
1,9047,14700,18.83774,2.61033,0,1,8.7553,5.02854,4.52302,6.2084,7.796,5.78469,0.83061
1,9047,14850,18.84267,2.61038,0,1,8.7553,4.95684,4.40182,5.84189,7.72221,5.94159,0.87672
1,9047,15000,18.83627,2.6103,0,1,8.7553,5.15054,4.50384,6.49372,7.85209,5.96227,0.94079
1,9047,15150,18.84117,2.61031,0,1,8.7553,5.13609,4.67601,6.32996,8.17057,5.64059,0.86334
1,9047,15300,18.83402,2.61029,0,1,8.7553,5.13013,4.76491,6.07767,8.01034,5.89539,0.90235
2,3585,150,27.7494,2.96646,0,1,1.3331E-4,1.1545E-6,2.7654E-16,1.0976E-14,1.136E-18,5.7724E-6,2.2127E-13
2,3585,300,23.44887,2.80856,0,1,5.9601E-4,2.2892E-7,2.7514E-13,1.1444E-6,1.9799E-10,3.4653E-13,1.9185E-14
2,3585,450,28.74078,2.99139,0,1,0.0078634,7.8861E-9,9.4339E-16,3.9379E-8,5.1206E-11,3.7503E-16,6.1124E-17
2,3585,600,22.77496,2.87583,0,1,0.0078634,1.6715E-6,1.2414E-13,1.0861E-13,2.7769E-11,3.0501E-8,8.3269E-6
2,3585,750,21.05795,3.04659,0,1,0.03321,5.1914E-11,3.8383E-11,3.5732E-11,1.2015E-10,6.53E-11,6.0759E-15
2,3585,900,23.74578,2.83708,0,1,0.03321,3.7175E-9,4.1746E-13,2.0475E-10,2.6593E-14,3.0934E-13,1.8382E-8
2,3585,1050,26.07132,2.7798,0,1,0.03321,7.5221E-10,3.3988E-9,6.9194E-15,2.6584E-14,5.9567E-12,3.5627E-10
2,3585,1200,15.01724,2.70674,0,1,0.03321,4.6568E-11,5.2264E-14,3.4664E-12,1.6127E-14,7.4385E-14,2.2923E-10
2,3585,1350,23.63072,2.81335,0,1,0.03321,2.1391E-11,1.0148E-10,1.1531E-19,3.2929E-15,2.584E-13,5.2179E-12
2,3585,1500,21.6505,2.83595,0,1,0.03321,2.6377E-8,6.9552E-8,3.6227E-13,6.0228E-8,2.0977E-9,7.6381E-12
2,3585,1650,19.64979,2.84348,0,1,0.03321,8.0898E-8,1.9475E-14,2.4985E-12,6.4513E-12,3.1084E-14,4.0448E-7
2,3585,1800,21.91781,2.93688,0,1,0.03321,4.2957E-13,1.9873E-12,1.5185E-13,3.347E-15,3.454E-16,5.0567E-15
2,3585,1950,21.77989,2.91521,0,1,0.03321,2.2708E-15,2.1079E-17,9.0473E-16,3.1816E-16,9.9806E-15,1.297E-16
2,3585,2100,22.81054,2.87803,0,1,0.03321,1.6313E-7,1.4092E-7,2.5429E-21,6.1885E-7,1.3185E-15,5.5883E-8
2,3585,2250,21.92019,3.00206,0,1,0.03321,1.1989E-11,1.199E-12,3.0604E-12,5.5382E-11,5.3166E-15,2.9608E-13
2,3585,2400,18.70093,2.90688,0,1,0.03321,5.8149E-12,9.1579E-14,2.8973E-11,3.1176E-21,9.029E-15,5.1111E-16
2,3585,2550,20.10532,2.92794,0,1,0.23418,0.0031401,1.0361E-17,1.0568E-12,1.5499E-9,5.0497E-11,0.0157
2,3585,2700,16.55897,2.8191,0,1,3.11443,0.17357,2.246E-18,1.0627E-18,5.0558E-4,5.3489E-12,0.86736
2,3585,2850,17.3976,2.79899,0,1,4.59794,0.59493,2.7156E-10,3.8783E-12,0.06359,4.1592E-6,2.91107
2,3585,3000,15.38893,2.70417,0,1,5.44373,1.44265,1.1138E-13,2.7939E-16,2.25957,6.6892E-21,4.9537
2,3585,3150,15.9722,2.8679,0,1,5.78654,1.93512,1.2824E-9,2.006E-13,4.70075,1.4937E-5,4.97485
2,3585,3300,18.56466,2.80046,0,1,5.86829,2.07309,2.5563E-8,1.4593E-15,5.10522,1.8392E-14,5.26023
2,3585,3450,17.17925,2.83096,0,1,5.87013,2.08938,8.0077E-15,6.4547E-13,5.17633,3.834E-11,5.27056
2,3585,3600,19.24863,2.92124,0,1,5.95547,2.12658,2.9415E-13,8.8436E-19,5.22941,2.2687E-7,5.40349
2,3585,3750,16.27676,2.73562,0,1,5.95547,1.9616,1.804E-14,1.9328E-13,5.11392,5.7806E-4,4.69352
2,3585,3900,13.63701,2.7465,0,1,5.95547,2.15517,1.0583E-13,2.1435E-11,5.2834,0.27544,5.21702
2,3585,4050,17.0301,2.82204,0,1,5.95547,2.23308,1.0768E-18,1.2128E-13,5.36406,0.50278,5.29857
2,3585,4200,15.30328,2.67825,0,1,5.95547,2.31671,4.0106E-14,8.0142E-18,5.51925,1.29391,4.77041
2,3585,4350,18.0248,2.84408,0,1,5.95547,2.3792,4.2309E-16,4.0005E-11,5.2311,1.56042,5.10447
2,3585,4500,16.44156,2.75077,0,1,5.95547,2.27177,5.0954E-12,2.4494E-17,4.55256,1.6253,5.18097
