Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,6747,150,26.70243,3.06115,2,100,0.02192,1.4861E-8,9.595E-17,1.1679E-10,9.8812E-14,7.4485E-11,7.4111E-8
1,6747,300,27.91236,3.04376,2,100,0.02192,1.0489E-9,5.4495E-11,4.8586E-9,1.0664E-15,5.709E-13,3.309E-10
1,6747,450,16.04074,2.62885,2,100,0.02192,5.7664E-9,7.6379E-12,8.1844E-11,1.2917E-10,7.1259E-10,2.7901E-8
1,6747,600,17.54721,2.50325,2,100,0.02192,2.7353E-11,5.672E-11,5.5092E-11,2.357E-11,5.3229E-15,1.3779E-12
1,6747,750,14.50404,2.40955,2,100,0.02192,6.2907E-9,6.6824E-20,2.2343E-19,3.1451E-8,2.8239E-12,5.6323E-15
1,6747,900,23.75048,2.73338,2,100,0.02192,1.9768E-7,1.1874E-14,1.0781E-11,1.9472E-12,9.854E-7,2.9923E-9
1,6747,1050,18.56265,2.54185,2,100,0.02192,1.1811E-9,2.0011E-13,5.6817E-13,4.8201E-9,2.9016E-10,7.9475E-10
1,6747,1200,11.81871,2.35774,2,100,0.03901,5.7075E-11,2.8538E-10,8.2953E-16,2.4426E-16,2.0577E-16,3.0431E-17
1,6747,1350,20.88501,2.51949,2,100,0.03901,7.0956E-16,4.4202E-16,1.7786E-18,9.1785E-16,2.6086E-16,1.9253E-15
1,6747,1500,15.36067,2.57655,2,100,0.08338,1.2201E-10,3.9473E-10,8.9705E-11,1.2377E-10,3.8822E-17,1.824E-12
1,6747,1650,16.04259,2.46632,2,100,0.08338,3.1152E-12,6.6298E-12,1.8215E-13,2.4712E-14,2.7334E-15,8.7368E-12
1,6747,1800,19.61403,2.8097,2,100,0.08338,3.8885E-5,6.2618E-15,1.3904E-12,4.8091E-14,4.2024E-7,1.9401E-4
1,6747,1950,10.81074,1.9893,2,100,0.35166,0.02338,0.010495,1.2854E-10,9.0997E-10,9.0215E-11,0.10639
1,6747,2100,11.09799,1.93333,2,100,1.21197,0.27349,0.65603,1.0862E-9,8.7478E-15,4.1147E-12,0.71143
1,6747,2250,10.43842,1.83003,2,100,2.10908,1.04648,1.9343,1.71741,1.4657E-11,4.2271E-10,1.58071
1,6747,2400,9.41536,1.56942,2,100,2.34048,1.11319,1.83992,1.99711,9.0138E-9,7.0557E-17,1.72895
1,6747,2550,7.0554,1.29206,2,100,2.52451,1.60108,1.78383,2.04612,2.13617,1.4793E-9,2.03928
1,6747,2700,6.63932,1.15141,2,100,2.61802,1.61365,1.92061,2.0911,2.14679,0.0010848,1.90864
1,6747,2850,6.62548,1.15071,2,100,2.63306,1.66137,1.91792,2.28714,2.21683,0.007213,1.87776
1,6747,3000,6.62943,1.15079,2,100,2.8524,1.81398,2.46499,2.30141,2.06976,0.0085419,2.22521
1,6747,3150,6.62077,1.15069,2,100,3.06668,1.87754,2.49188,2.4214,2.21886,0.016435,2.23915
1,6747,3300,6.59728,1.15046,2,100,3.25531,1.90553,2.74202,2.34276,2.3636,0.02034,2.05894
1,6747,3450,2.4294,0.29157,2,100,3.65762,2.55892,3.11481,2.97399,2.3785,2.18139,2.14592
1,6747,3600,2.43828,0.29158,2,100,3.65762,2.61787,3.01058,2.95622,2.34714,2.61923,2.15616
1,6747,3750,2.44678,0.29168,2,100,3.65762,2.72937,2.9687,2.96399,2.49654,3.14692,2.07069
1,6747,3900,2.43043,0.29192,2,100,3.66794,2.77908,2.94141,3.17329,2.51139,2.88174,2.38758
1,6747,4050,2.44237,0.29202,2,100,3.66794,2.86683,2.80236,3.02147,3.00396,3.00781,2.49852
1,6747,4200,2.44184,0.29205,2,100,3.66794,2.97161,2.94872,2.91699,3.0521,3.10644,2.83382
1,6747,4350,2.43238,0.29214,2,100,3.66794,2.89357,2.94555,3.05783,2.92655,2.77558,2.76232
1,6747,4500,2.43571,0.2921,2,100,3.66794,2.99229,3.25248,3.04584,2.86916,2.98711,2.80683
1,6747,4650,2.43886,0.29215,2,100,3.66794,2.96754,3.14167,2.84464,3.14576,2.85367,2.85194
1,6747,4800,2.4379,0.2922,2,100,3.70045,3.03542,3.09518,2.9783,3.05167,3.1676,2.88433
1,6747,4950,2.40683,0.29239,2,100,3.75112,3.02985,2.82319,2.90407,3.1211,3.03144,3.26947
1,6747,5100,2.41582,0.29243,2,100,3.75935,3.13425,3.14228,3.09073,3.29424,2.99115,3.15286
1,6747,5250,2.41781,0.29255,2,100,4.24585,3.29995,3.09173,3.18439,3.29025,3.23282,3.70055
1,6747,5400,2.41035,0.29261,2,100,4.35996,3.29039,3.24076,3.05892,3.2219,2.87842,4.05194
1,6747,5550,2.40178,0.2927,2,100,4.90336,3.37044,2.98823,3.14757,3.03566,3.15375,4.52701
1,6747,5700,2.39762,0.29276,2,100,5.0139,3.34126,3.13011,2.96846,3.33461,2.981,4.29212
1,6747,5850,5.16535,0.35822,2,100,5.0139,3.63069,4.15192,3.14592,3.28033,3.41812,4.15713
1,6747,6000,6.70613,0.35813,2,100,5.0139,3.67103,4.1895,2.9536,3.26816,3.53702,4.40685
1,6747,6150,5.36932,0.35818,2,100,5.0139,3.62042,4.08755,3.11466,3.47206,3.5109,3.91695
1,6747,6300,8.53022,0.35763,2,100,5.0139,3.85545,4.02657,4.35571,3.08096,3.9175,3.89648
1,6747,6450,9.35873,0.35758,2,100,5.0139,3.82576,4.22722,4.14771,2.96976,3.78043,4.00368
1,6747,6600,7.66897,0.35744,2,100,5.0139,4.0566,4.12102,4.31362,3.7536,3.78653,4.30821
1,6747,6750,7.57293,0.35727,2,100,5.0139,4.19071,4.18367,4.27949,3.90881,4.35872,4.22289
1,6747,6900,7.92586,0.35704,2,100,5.15848,4.36003,4.18531,4.10541,4.63469,4.58351,4.29122
1,6747,7050,7.70355,0.35679,2,100,5.48135,4.49035,4.08538,4.07902,5.11123,4.99285,4.18328
1,6747,7200,9.34494,0.35667,2,100,6.12031,4.92735,4.2947,3.94285,5.45748,5.51483,5.42689
1,6747,7350,8.13255,0.3567,2,100,6.28383,5.01841,4.33319,4.24664,5.28052,5.61033,5.62136
1,6747,7500,8.34203,0.35677,2,100,6.28383,5.07,4.18905,4.28003,5.67026,5.64104,5.5696
1,6747,7650,7.4383,0.35673,2,100,6.28383,4.82501,4.24424,4.15083,5.03735,5.13663,5.55603
1,6747,7800,8.35923,0.35675,2,100,6.28383,5.01929,4.17754,4.18145,5.63241,5.45394,5.65108
1,6747,7950,4.86944,0.29125,2,100,6.31537,5.19883,5.33513,4.35042,5.45401,5.26692,5.58767
1,6747,8100,1.74215,3.663E-4,2,100,6.31863,5.48479,5.20043,5.58529,5.57234,5.48614,5.57976
1,6747,8250,1.72106,4.225E-4,2,100,6.31863,5.4152,5.48302,5.30289,5.58022,5.37855,5.33135
1,6747,8400,1.73131,3.8927E-4,2,100,6.31863,5.50735,5.62362,5.70093,5.49918,5.34082,5.37221
1,6747,8550,1.72933,3.9153E-4,2,100,6.35267,5.4986,5.54689,5.24381,5.49281,5.77408,5.43543
1,6747,8700,1.76896,3.8658E-4,2,100,6.35267,5.49529,5.27567,5.70813,5.41173,5.58575,5.49515
1,6747,8850,1.77019,5.07E-4,2,100,6.35267,5.51262,5.45475,5.57166,5.5789,5.44404,5.51374
1,6747,9000,1.76176,4.2809E-4,2,100,6.35407,5.41751,5.62609,5.6485,5.04252,5.29382,5.47664
1,6747,9150,1.76108,3.7276E-4,2,100,6.35407,5.51668,5.44944,5.73075,5.49752,5.50932,5.39639
1,6747,9300,1.75701,4.6111E-4,2,100,6.35407,5.4973,5.63726,5.42833,5.43443,5.55315,5.43334
1,6747,9450,1.75622,5.4144E-4,2,100,6.35407,5.25578,5.01344,5.4376,5.50427,5.3452,4.9784
1,6747,9600,1.75926,4.6487E-4,2,100,6.37709,5.45464,5.30316,5.63849,5.58501,5.1281,5.61845
1,6747,9750,1.75394,4.1857E-4,2,100,6.37709,5.65684,5.72407,5.64888,5.81154,5.42317,5.67652
1,6747,9900,1.75909,4.1604E-4,2,100,6.37709,5.50453,5.5735,5.24095,5.51202,5.60353,5.59263
1,6747,10050,1.72798,3.3709E-4,2,100,6.37709,5.43518,5.2801,5.44782,5.41016,5.4219,5.61591
1,6747,10200,1.73326,4.586E-4,2,100,6.37709,5.46096,5.43487,5.39592,5.69281,5.49876,5.28243
1,6747,10350,1.73218,4.0855E-4,2,100,6.43253,5.56102,5.50283,5.70528,5.54401,5.56898,5.48402
1,6747,10500,1.72973,4.6728E-4,2,100,6.43253,5.58318,5.48899,5.74476,5.56998,5.49228,5.61991
1,6747,10650,1.75486,4.5042E-4,2,100,6.43253,5.46096,5.20689,5.64028,5.44713,5.63488,5.37559
1,6747,10800,1.74401,4.4311E-4,2,100,6.43253,5.52515,5.64944,5.49325,5.46015,5.46313,5.55979
1,6747,10950,1.7318,3.9331E-4,2,100,6.43253,5.53,5.36472,5.7264,5.30875,5.69872,5.55139
1,6747,11100,1.71986,3.4409E-4,2,100,6.43253,5.5267,5.29317,5.52279,5.72507,5.53025,5.56219
1,6747,11250,1.75983,3.3118E-4,2,100,6.43253,5.59481,5.37748,5.77586,5.65261,5.53331,5.63478
1,6747,11400,1.75795,3.8986E-4,2,100,6.43253,5.52889,5.39151,5.51205,5.55268,5.76674,5.42147
1,6747,11550,1.76065,3.7704E-4,2,100,6.43253,5.56501,5.7131,5.35178,5.46541,5.71665,5.5781
1,6747,11700,1.72198,4.0809E-4,2,100,6.43253,5.41812,5.30703,5.51934,5.37615,5.61783,5.27025
1,6747,11850,1.72455,4.9781E-4,2,100,6.43253,5.60752,5.58556,5.68416,5.51662,5.69269,5.55855
1,6747,12000,1.7269,6.8026E-4,2,100,6.43253,5.49236,5.55385,5.31117,5.50613,5.70323,5.38744
1,6747,12150,1.70043,8.9444E-4,2,100,6.43253,5.42945,5.37706,5.39136,5.27044,5.6227,5.48568
1,6747,12300,1.71129,8.5507E-4,2,100,6.43253,5.3845,5.58459,5.35673,5.26011,5.48581,5.23525
1,6747,12450,1.7229,8.2518E-4,2,100,6.43253,5.54932,5.05255,5.55178,5.68719,5.65528,5.79982
