Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,5135,7200,0.0029791,3.5758E-4,5,41,4.40314,3.72278,3.69473,3.6914,3.62197,3.85813,3.74768
1,5135,7350,0.0031253,3.7941E-4,5,40,4.40314,3.67587,3.65864,3.56017,3.63703,3.78263,3.74087
1,5135,7500,0.0025348,3.3189E-4,5,39,4.40314,3.7085,3.73693,3.88239,3.72118,3.67249,3.52952
1,5135,7650,0.0018617,2.8956E-4,5,38,4.40314,3.60052,3.49154,3.67189,3.66743,3.5418,3.62993
1,5135,7800,0.0014051,2.8014E-4,5,38,4.40314,3.67916,3.70684,3.51574,3.74394,3.76388,3.66539
1,5135,7950,0.0034458,4.566E-4,5,37,4.41922,3.64101,3.71308,3.72177,3.87294,3.55878,3.33847
1,5135,8100,0.0033405,4.6545E-4,6,36,4.41922,3.59856,3.73348,3.25203,3.71032,3.61803,3.67896
1,5135,8250,0.0013194,2.4238E-4,6,36,4.41922,3.74279,3.75488,3.62023,3.74931,3.83107,3.75848
1,5135,8400,0.001942,3.2222E-4,6,35,4.41922,3.70297,3.54663,3.50436,3.86154,3.7692,3.83313
1,5135,8550,0.0018413,2.512E-4,6,34,4.41922,3.65076,3.63494,3.52466,3.84801,3.62112,3.62509
1,5135,8700,9.3859E-4,2.4067E-4,6,34,4.41922,3.73244,3.68972,3.62266,3.83365,3.77005,3.74612
1,5135,8850,0.0028885,3.7417E-4,6,33,4.41922,3.61246,3.77672,3.56805,3.70572,3.71912,3.29271
1,5135,9000,0.0036695,4.1945E-4,6,32,4.41922,3.61873,3.61629,3.545,3.48603,3.85165,3.59468
1,5135,9150,0.0033293,4.1658E-4,6,32,4.41922,3.57943,3.80136,3.56304,3.3478,3.57648,3.60848
1,5135,9300,0.0043741,4.9498E-4,6,31,4.41922,3.61394,3.61512,3.74457,3.24671,3.71182,3.75147
1,5135,9450,0.0026097,3.5537E-4,7,31,4.41922,3.59565,3.69451,3.6537,3.75509,3.30442,3.57054
1,5135,9600,0.0017007,3.2092E-4,7,30,4.41922,3.63526,3.68737,3.76065,3.51425,3.25626,3.95775
1,5135,9750,0.0020278,3.63E-4,7,30,4.41922,3.57907,3.66352,3.70363,3.46675,3.51934,3.54211
1,5135,9900,0.0016629,2.68E-4,7,29,4.43758,3.70011,3.76339,3.57337,3.68902,3.67404,3.80074
