Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
3,7953,11400,0.0047098,5,100,6.51339
3,7953,11700,0.0018211,5,100,6.51339
3,7953,12000,0.0029388,5,100,6.51339
3,7953,12300,0.0017662,5,100,6.51339
3,7953,12600,0.0032582,5,100,6.51339
3,7953,12900,0.0026628,5,100,6.51339
3,7953,13200,0.0051272,5,100,6.51339
3,7953,13500,0.0037527,5,100,6.51339
3,7953,13800,0.0037871,5,100,6.51339
3,7953,14100,0.0034814,5,100,6.51339
3,7953,14400,0.0027315,5,100,6.51339
3,7953,14700,0.0021416,5,100,6.51339
3,7953,15000,0.0038568,5,100,6.51339
3,7953,15300,0.0018855,5,100,6.51339
4,8820,300,20.43309,5,100,9.4342E-4
4,8820,600,14.11422,5,100,0.0036726
4,8820,900,19.5938,5,100,0.0036726
4,8820,1200,30.96346,5,100,0.03265
4,8820,1500,19.0041,5,100,0.03265
4,8820,1800,23.46457,5,100,0.03265
4,8820,2100,17.90443,5,100,0.03265
4,8820,2400,20.55335,5,100,0.03265
4,8820,2700,18.55151,5,100,0.29786
4,8820,3000,0.21574,5,100,4.64558
4,8820,3300,0.20407,5,100,5.14175
4,8820,3600,0.0171,5,100,5.36458
4,8820,3900,0.011799,5,100,6.41698
4,8820,4200,0.0073018,5,100,6.47681
4,8820,4500,0.0057105,5,100,6.49172
4,8820,4800,0.0062933,5,100,6.52596
4,8820,5100,0.011113,5,100,6.57643
4,8820,5400,0.0096912,5,100,6.57643
4,8820,5700,0.0047587,5,100,6.57643
4,8820,6000,0.0035492,5,100,6.57643
4,8820,6300,0.003987,5,100,6.57643
4,8820,6600,0.0046739,5,100,6.57643
4,8820,6900,0.011018,5,100,6.57874
4,8820,7200,0.0037821,5,100,6.57874
4,8820,7500,0.0042133,5,100,6.57874
4,8820,7800,0.0045899,5,100,6.57874
4,8820,8100,0.006455,5,100,6.57874
4,8820,8400,0.0080151,5,100,6.73806
4,8820,8700,0.01086,5,100,6.85979
4,8820,9000,0.0068753,5,100,6.85979
4,8820,9300,0.0042992,5,100,7.02275
4,8820,9600,0.0073852,5,100,7.03663
4,8820,9900,0.0083616,5,100,7.03663
4,8820,10200,0.0040494,5,100,7.03758
4,8820,10500,0.0054478,5,100,7.03758
4,8820,10800,0.004958,5,100,7.03758
4,8820,11100,0.0028388,5,100,7.03758
4,8820,11400,0.0036163,5,100,7.03758
4,8820,11700,0.006498,5,100,7.03758
4,8820,12000,0.0031792,5,100,7.04696
4,8820,12300,0.0031485,5,100,7.04696
4,8820,12600,0.0063238,5,100,7.04696
4,8820,12900,0.0080056,5,100,7.04696
4,8820,13200,0.0064459,5,100,7.04696
4,8820,13500,0.0077912,5,100,7.09475
4,8820,13800,0.0088045,5,100,7.09475
4,8820,14100,0.011103,5,100,7.10646
4,8820,14400,0.010165,5,100,7.13891
4,8820,14700,0.014793,5,100,7.13891
4,8820,15000,0.018776,5,100,7.13891
4,8820,15300,0.017659,5,100,7.3352
