Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,638,300,22.08506,2,100,3.6963E-4
1,638,600,22.56893,2,100,0.0022319
1,638,900,27.14387,2,100,0.0022319
1,638,1200,20.78684,2,100,0.0022319
1,638,1500,18.8844,2,100,0.0022319
1,638,1800,16.58205,2,100,0.014478
1,638,2100,15.94346,2,100,0.014478
1,638,2400,14.98722,2,100,0.03583
1,638,2700,9.97556,2,100,5.78189
1,638,3000,10.47171,2,100,8.48463
1,638,3300,3.2352,2,100,8.64241
1,638,3600,0.0037941,2,100,8.64241
1,638,3900,0.004189,2,100,8.64241
1,638,4200,0.0027001,2,100,8.64241
1,638,4500,0.0044774,2,100,8.64241
1,638,4800,0.0048959,2,100,8.64241
1,638,5100,0.0042885,2,100,8.64241
1,638,5400,0.0061585,2,100,8.67236
1,638,5700,0.006566,2,100,8.67236
1,638,6000,0.0061803,2,100,8.67236
1,638,6300,0.0067108,2,100,8.68543
1,638,6600,0.0060707,2,100,8.68543
1,638,6900,0.0032333,2,100,8.68543
1,638,7200,0.0036459,2,100,8.68543
1,638,7500,0.0056901,2,100,8.68543
1,638,7800,0.0039517,2,100,8.68543
1,638,8100,0.0034094,2,100,8.68543
1,638,8400,0.0046128,2,100,8.68543
1,638,8700,0.0042326,2,100,8.68543
1,638,9000,0.0034385,2,100,8.68543
1,638,9300,0.0046514,2,100,8.68543
1,638,9600,0.0062032,2,100,8.68543
1,638,9900,0.0055782,2,100,8.68543
1,638,10200,0.0073,2,100,8.68543
1,638,10500,0.0078283,2,100,8.68543
1,638,10800,0.0073282,2,100,8.68543
1,638,11100,0.010658,2,100,8.68543
1,638,11400,0.0096255,2,100,8.68543
1,638,11700,0.0062868,2,100,8.68543
1,638,12000,0.0085888,2,100,8.68543
1,638,12300,0.0077059,2,100,8.68543
1,638,12600,0.0080827,2,100,8.68543
1,638,12900,0.0092775,2,100,8.68543
1,638,13200,0.0088714,2,100,8.68543
1,638,13500,0.010396,2,100,8.68543
1,638,13800,0.010538,2,100,8.68543
1,638,14100,0.010951,2,100,8.68543
1,638,14400,0.012987,2,100,8.68543
1,638,14700,0.011341,2,100,8.68543
1,638,15000,0.011175,2,100,8.68543
1,638,15300,0.010974,2,100,8.68543
