Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
3,406,14100,2.4506,2,17,9.69973
3,406,14400,2.49973,2,17,9.69973
3,406,14700,2.51579,2,16,9.69973
3,406,15000,2.50068,2,15,9.7939
3,406,15300,2.52235,2,15,9.7939
4,4205,300,23.49509,2,96,1.9154E-4
4,4205,600,21.09645,2,93,5.8483E-4
4,4205,900,24.0725,2,89,0.0066585
4,4205,1200,15.20004,2,86,0.0066585
4,4205,1500,13.24944,2,83,0.0066585
4,4205,1800,20.70473,2,80,0.0066585
4,4205,2100,17.03138,2,77,0.0066585
4,4205,2400,12.85526,2,74,0.01123
4,4205,2700,17.447,2,71,3.51334
4,4205,3000,4.04246,2,69,8.25728
4,4205,3300,0.92396,2,66,8.6467
4,4205,3600,0.0028667,2,64,8.72086
4,4205,3900,0.0016255,2,61,8.81111
4,4205,4200,0.0024964,2,59,8.84232
4,4205,4500,0.0028723,2,57,8.84232
4,4205,4800,0.0057426,2,55,8.84232
4,4205,5100,0.0066791,2,53,8.84232
4,4205,5400,0.0057523,2,51,8.84232
4,4205,5700,0.0039532,2,49,8.90846
4,4205,6000,0.004908,2,47,8.95286
4,4205,6300,0.0032092,2,46,8.95286
4,4205,6600,0.0031837,2,44,8.95286
4,4205,6900,0.0053551,2,42,8.95286
4,4205,7200,0.0059981,2,41,8.95286
4,4205,7500,0.0051865,2,39,8.95286
4,4205,7800,0.0052372,2,38,8.95286
4,4205,8100,0.0049061,2,36,8.95286
4,4205,8400,0.0048658,2,35,8.95286
4,4205,8700,0.0026192,2,34,8.95286
4,4205,9000,0.0029705,2,32,8.95286
4,4205,9300,0.003663,2,31,8.97637
4,4205,9600,0.0037455,2,30,9.01289
4,4205,9900,0.0028422,2,29,9.01289
4,4205,10200,0.0022862,2,28,9.01289
4,4205,10500,0.0024903,2,27,9.01289
4,4205,10800,0.0026422,2,26,9.01289
4,4205,11100,0.0016886,2,25,9.0893
4,4205,11400,0.0027918,2,24,9.0893
4,4205,11700,8.3976E-4,2,23,9.0893
4,4205,12000,0.0015142,2,22,9.0893
4,4205,12300,0.0015558,2,21,9.0893
4,4205,12600,0.0018331,2,21,9.0893
4,4205,12900,0.0014614,2,20,9.0893
4,4205,13200,0.0016869,2,19,9.0893
4,4205,13500,0.0016281,2,18,9.0893
4,4205,13800,0.0012609,2,18,9.0893
4,4205,14100,9.4853E-4,2,17,9.0893
4,4205,14400,0.0022172,2,17,9.0893
4,4205,14700,8.9179E-4,2,16,9.0893
4,4205,15000,9.5357E-4,2,15,9.0893
4,4205,15300,0.0013608,2,15,9.0893
5,2683,300,19.03255,2,96,5.0363E-4
5,2683,600,27.57424,2,93,0.0016282
5,2683,900,20.5109,2,89,0.0016282
5,2683,1200,21.38197,2,86,0.0016282
5,2683,1500,17.25321,2,83,0.0016282
5,2683,1800,16.25217,2,80,0.04334
5,2683,2100,18.93075,2,77,0.06702
5,2683,2400,18.36143,2,74,1.71874
5,2683,2700,3.78493,2,71,4.15322
5,2683,3000,3.57509,2,69,4.23108
5,2683,3300,3.29586,2,66,4.26445
5,2683,3600,3.27151,2,64,4.28665
5,2683,3900,3.43311,2,61,4.30344
5,2683,4200,3.32488,2,59,4.34161
5,2683,4500,3.33311,2,57,4.42541
5,2683,4800,3.39659,2,55,4.42541
5,2683,5100,3.3386,2,53,4.42541
5,2683,5400,3.28906,2,51,4.42541
5,2683,5700,3.28224,2,49,4.42588
5,2683,6000,3.17606,2,47,4.42588
5,2683,6300,3.19472,2,46,4.46048
5,2683,6600,2.99311,2,44,4.81917
5,2683,6900,2.53956,2,42,4.89176
5,2683,7200,2.58232,2,41,4.98455
5,2683,7500,2.65711,2,39,4.98455
5,2683,7800,2.61072,2,38,4.98455
5,2683,8100,2.58489,2,36,4.98655
5,2683,8400,2.61217,2,35,4.98655
5,2683,8700,2.6139,2,34,5.02741
5,2683,9000,2.52209,2,32,5.02741
5,2683,9300,2.6673,2,31,5.4597
5,2683,9600,2.72573,2,30,5.92019
5,2683,9900,2.41018,2,29,7.09123
5,2683,10200,2.45088,2,28,7.13426
5,2683,10500,2.4704,2,27,7.13656
5,2683,10800,2.47302,2,26,7.13656
5,2683,11100,2.45909,2,25,7.13828
5,2683,11400,2.44552,2,24,7.1689
5,2683,11700,2.48453,2,23,7.1689
5,2683,12000,2.50863,2,22,7.1689
5,2683,12300,2.51833,2,21,7.1689
5,2683,12600,2.58486,2,21,7.1689
5,2683,12900,2.54906,2,20,7.1689
5,2683,13200,2.44366,2,19,7.1689
5,2683,13500,2.44485,2,18,7.21562
5,2683,13800,2.35819,2,18,7.21562
5,2683,14100,2.41159,2,17,7.21562
5,2683,14400,2.43833,2,17,7.21562
5,2683,14700,2.56042,2,16,7.21562
5,2683,15000,2.54589,2,15,7.21562
5,2683,15300,2.5606,2,15,7.21562
6,3046,300,21.52627,2,96,3.6236E-4
6,3046,600,27.26182,2,93,0.0075547
6,3046,900,19.1855,2,89,0.010881
6,3046,1200,30.67971,2,86,0.010881
6,3046,1500,14.57239,2,83,0.010881
6,3046,1800,25.37313,2,80,0.010881
6,3046,2100,16.70499,2,77,0.010881
6,3046,2400,23.2317,2,74,0.65877
6,3046,2700,26.6716,2,71,4.31001
6,3046,3000,10.26646,2,69,4.79673
6,3046,3300,1.15951,2,66,4.88838
6,3046,3600,1.16676,2,64,4.90759
6,3046,3900,1.18576,2,61,4.90759
6,3046,4200,1.17202,2,59,4.90759
6,3046,4500,1.15442,2,57,4.90759
6,3046,4800,1.17315,2,55,4.90759
6,3046,5100,1.16895,2,53,4.90759
6,3046,5400,1.17035,2,51,4.92998
6,3046,5700,1.17327,2,49,4.92998
6,3046,6000,1.17536,2,47,4.92998
6,3046,6300,1.15172,2,46,4.92998
6,3046,6600,1.17739,2,44,4.92998
6,3046,6900,1.16384,2,42,4.92998
6,3046,7200,1.16747,2,41,4.92998
6,3046,7500,1.17768,2,39,4.92998
6,3046,7800,1.15287,2,38,4.92998
6,3046,8100,1.15569,2,36,4.92998
6,3046,8400,1.12357,2,35,4.97974
6,3046,8700,1.12596,2,34,5.00352
6,3046,9000,1.13899,2,32,5.00352
6,3046,9300,1.13912,2,31,5.00352
6,3046,9600,1.14353,2,30,5.00352
6,3046,9900,1.13617,2,29,5.00352
6,3046,10200,1.14483,2,28,5.00352
6,3046,10500,1.14686,2,27,5.00352
6,3046,10800,1.13973,2,26,5.00352
6,3046,11100,1.16023,2,25,5.00352
6,3046,11400,1.13842,2,24,5.00352
6,3046,11700,1.16798,2,23,5.00352
6,3046,12000,1.1516,2,22,5.00352
6,3046,12300,1.16225,2,21,5.00352
6,3046,12600,1.14573,2,21,5.00352
6,3046,12900,1.16798,2,20,5.00352
6,3046,13200,1.15389,2,19,5.00352
6,3046,13500,1.15856,2,18,5.00352
6,3046,13800,1.16455,2,18,5.00352
6,3046,14100,1.15924,2,17,5.00352
6,3046,14400,1.15798,2,17,5.06216
6,3046,14700,1.16849,2,16,5.06216
6,3046,15000,1.16001,2,15,5.06216
6,3046,15300,1.13917,2,15,5.06216
7,4463,300,23.62917,2,96,2.3535E-4
7,4463,600,20.0083,2,93,0.0016573
7,4463,900,17.77584,2,89,0.017835
7,4463,1200,19.32453,2,86,0.017835
7,4463,1500,12.1129,2,83,0.017835
7,4463,1800,20.99257,2,80,0.017835
7,4463,2100,18.14478,2,77,0.017835
7,4463,2400,15.26773,2,74,0.017835
7,4463,2700,13.97581,2,71,0.017835
7,4463,3000,18.63087,2,69,0.017835
7,4463,3300,17.89919,2,66,0.017835
7,4463,3600,11.9436,2,64,0.01901
7,4463,3900,16.66533,2,61,4.28767
7,4463,4200,14.24221,2,59,7.34558
7,4463,4500,5.47861,2,57,7.69009
7,4463,4800,4.92729,2,55,8.13996
7,4463,5100,4.58924,2,53,8.55079
7,4463,5400,4.62462,2,51,8.59156
7,4463,5700,4.62912,2,49,8.59156
7,4463,6000,4.66846,2,47,8.59156
7,4463,6300,4.67895,2,46,8.59156
7,4463,6600,4.67269,2,44,8.59156
7,4463,6900,4.66213,2,42,8.59156
7,4463,7200,4.62532,2,41,8.59156
7,4463,7500,4.61063,2,39,8.59156
7,4463,7800,4.643,2,38,8.59156
7,4463,8100,4.65686,2,36,8.59156
7,4463,8400,4.66938,2,35,8.59156
7,4463,8700,4.61961,2,34,8.63796
7,4463,9000,4.61338,2,32,8.63796
7,4463,9300,4.61845,2,31,8.63796
7,4463,9600,4.54311,2,30,8.63796
7,4463,9900,4.68042,2,29,8.63796
7,4463,10200,4.57449,2,28,8.63796
7,4463,10500,4.64877,2,27,8.63796
7,4463,10800,4.55231,2,26,8.63796
7,4463,11100,4.63,2,25,8.63796
7,4463,11400,4.51643,2,24,8.66358
7,4463,11700,4.65526,2,23,8.66358
7,4463,12000,4.58638,2,22,8.66358
7,4463,12300,4.61758,2,21,8.66358
7,4463,12600,4.59728,2,21,8.66358
7,4463,12900,4.66748,2,20,8.66358
7,4463,13200,4.61101,2,19,8.66358
7,4463,13500,4.64485,2,18,8.66358
7,4463,13800,4.61777,2,18,8.66358
7,4463,14100,4.62969,2,17,8.66358
7,4463,14400,4.63381,2,17,8.66358
7,4463,14700,4.585,2,16,8.66358
7,4463,15000,4.61666,2,15,8.66358
7,4463,15300,4.63778,2,15,8.66358
8,3315,300,20.76928,2,96,0.0030087
8,3315,600,19.50432,2,93,0.0036197
8,3315,900,24.31357,2,89,0.0036197
8,3315,1200,23.87349,2,86,0.0036197
8,3315,1500,23.74251,2,83,0.018736
8,3315,1800,22.05197,2,80,0.018736
8,3315,2100,7.83791,2,77,3.90824
8,3315,2400,1.87588,2,74,6.74672
8,3315,2700,1.77411,2,71,6.90179
8,3315,3000,1.70926,2,69,6.9497
8,3315,3300,1.68538,2,66,7.04611
